entity_id	status	effective	asserted_on	recorded	source_id
SSA:0010136	alive	2001		2026-07-28	BIGGS-SHEET
SSA:0010137	alive	2007		2026-07-28	BIGGS-SHEET
SSA:0010138	alive	2011		2026-07-28	BIGGS-SHEET
SSA:0010139	alive	2014		2026-07-28	BIGGS-SHEET
SSA:0010140	alive	2017		2026-07-28	BIGGS-SHEET
SSA:0010141	alive	2022		2026-07-28	BIGGS-SHEET
SSA:0010142	alive	1992		2026-07-28	BIGGS-SHEET
SSA:0010143	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010144	alive	2010		2026-07-28	BIGGS-SHEET
SSA:0010145	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010146	alive	2019		2026-07-28	BIGGS-SHEET
SSA:0010147	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010148	alive	1998		2026-07-28	BIGGS-SHEET
SSA:0010149	alive	1980		2026-07-28	BIGGS-SHEET
SSA:0010150	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010151	alive	1999		2026-07-28	BIGGS-SHEET
SSA:0010152	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010153	alive	2020		2026-07-28	BIGGS-SHEET
SSA:0010154	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010155	alive	2011		2026-07-28	BIGGS-SHEET
SSA:0010156	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010157	alive	1981		2026-07-28	BIGGS-SHEET
SSA:0010158	alive	1972		2026-07-28	BIGGS-SHEET
SSA:0010160	alive	1989		2026-07-28	BIGGS-SHEET
SSA:0010161	alive	1994		2026-07-28	BIGGS-SHEET
SSA:0010162	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010163	alive	2004		2026-07-28	BIGGS-SHEET
SSA:0010164	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010165	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010166	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010168	alive	1995		2026-07-28	BIGGS-SHEET
SSA:0010169	alive	2006		2026-07-28	BIGGS-SHEET
SSA:0010170	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010171	alive	2009		2026-07-28	BIGGS-SHEET
SSA:0010172	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010173	alive	2017		2026-07-28	BIGGS-SHEET
SSA:0010174	alive	2020		2026-07-28	BIGGS-SHEET
SSA:0010176	alive	2001		2026-07-28	BIGGS-SHEET
SSA:0010177	alive	2004		2026-07-28	BIGGS-SHEET
SSA:0010178	alive	2008		2026-07-28	BIGGS-SHEET
SSA:0010179	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010180	alive	2019		2026-07-28	BIGGS-SHEET
SSA:0010181	alive	1978		2026-07-28	BIGGS-SHEET
