entity_id	ancestor_id	depth	ancestor_label	ancestor_kind	ancestor_rank
SSA:0002047	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002047	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002048	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002048	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002049	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002049	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002050	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002050	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002051	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002051	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002052	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002052	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002053	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002053	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002054	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002054	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002055	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002055	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002056	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002056	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002057	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002057	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002058	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002058	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002059	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002059	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002060	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002060	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002061	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002061	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002062	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002062	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002063	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002063	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002064	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002064	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002065	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002065	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002066	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002066	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002067	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002067	SSA:0000900	2	Orcinus orca	taxon	
SSA:0002068	SSA:0000002	1	Bigg's	group	ecotype
SSA:0002068	SSA:0000900	2	Orcinus orca	taxon	
